training_seed,block_id,target_force_n,fixed_joint_pass,full_joint_pass,difference_joint_pass,fixed_task_success,full_task_success,difference_task_success,fixed_tracking_pass,full_tracking_pass,difference_tracking_pass,fixed_mean_relative_error,full_mean_relative_error,difference_mean_relative_error,fixed_target_normalized_rmse,full_target_normalized_rmse,difference_target_normalized_rmse,fixed_absolute_signed_bias,full_absolute_signed_bias,difference_absolute_signed_bias,fixed_peak_force_n,full_peak_force_n,difference_peak_force_n,fixed_median_planning_ms,full_median_planning_ms,difference_median_planning_ms,fixed_mean_planning_samples,full_mean_planning_samples,difference_mean_planning_samples
202,F1,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.10009839661442177,0.07027613986898829,-0.029822256745433484,0.13023408836358127,0.11269177440219422,-0.017542313961387057,0.10009839661442177,0.07027613986898829,-0.029822256745433484,7.7849650382995605,8.440643310546875,0.6556782722473145,100.43304300052114,75.59427199885249,-24.838771001668647,128.0,115.66480446927375,-12.335195530726253
202,F1,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.16129048348287656,0.1372467907141989,-0.024043692768677655,0.18406722763089156,0.17059936458380806,-0.0134678630470835,0.16129048348287656,0.1372467907141989,-0.024043692768677655,10.839666366577148,11.212525367736816,0.37285900115966797,101.32025100028841,79.62775200030592,-21.69249899998249,128.0,118.4315443592552,-9.568455640744801
202,F2,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.10184820485529364,0.1045443578132069,0.002696152957913256,0.11096840636703613,0.1141032344702992,0.003134828103263071,0.10184820485529364,0.1045443578132069,0.002696152957913256,5.033520221710205,5.019474029541016,-0.014046192169189453,99.72334099984437,78.66784950056172,-21.055491499282653,128.0,117.5668202764977,-10.433179723502306
202,F2,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.10285275354635959,0.08034975734312488,-0.022502996203234704,0.12923874104917227,0.11329335462060201,-0.015945386428570255,0.10285275354635959,0.08034975734312488,-0.022502996203234704,7.948446273803711,8.053802490234375,0.10535621643066406,101.08758600017609,78.31501950022357,-22.772566499952518,128.0,115.81123595505618,-12.188764044943824
202,F2,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.1904485211407502,0.17580519376698542,-0.01464332737376478,0.21084458982219897,0.19824498600441953,-0.012599603817779442,0.1904485211407502,0.17580519376698542,-0.01464332737376478,12.120271682739258,12.041735649108887,-0.0785360336303711,99.76391200052603,81.60970350036223,-18.154208500163804,128.0,129.46058091286307,1.4605809128630654
202,K1,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.13015636566512753,0.08234719363810701,-0.04780917202702052,0.13345445923872218,0.08940908945801881,-0.044045369780703364,0.13015636566512753,0.08234719363810701,-0.04780917202702052,4.7091474533081055,4.881139755249023,0.17199230194091797,99.80415000063658,74.68403150051017,-25.12011850012641,128.0,113.37354988399072,-14.62645011600928
202,K1,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.09565148654804434,0.09433183980826576,-0.0013196467397785794,0.1272148380439947,0.12402919572658443,-0.003185642317410267,0.09565148654804434,0.09433183980826576,-0.0013196467397785794,8.032377243041992,7.9538702964782715,-0.0785069465637207,101.65132999918569,78.38290200015763,-23.268427999028063,128.0,116.87429218573047,-11.125707814269532
202,K1,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.19657159053908005,0.2142403442271316,0.01766875368805154,0.2135642472067212,0.227022599246514,0.013458352039792787,0.19657159053908005,0.2142403442271316,0.01766875368805154,11.094832420349121,11.223458290100098,0.12862586975097656,102.03316800016182,86.63039699968067,-15.402771000481152,128.0,135.9425641025641,7.942564102564091
202,K2,5.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.11164805790734675,0.08127273844921686,-0.030375319458129893,0.11707365396024935,0.08844525674076723,-0.028628397219482127,0.11164805790734675,0.08127273844921686,-0.030375319458129893,4.784862518310547,4.952163219451904,0.16730070114135742,100.09041449984579,75.90501500089886,-24.185399498946936,128.0,113.24217844727694,-14.757821552723058
202,K2,8.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.09655286240834848,0.08288402594288313,-0.01366883646546535,0.12781927259296724,0.11917101092386456,-0.00864826166910268,0.09655286240834848,0.08288402594288313,-0.01366883646546535,7.883814334869385,8.122011184692383,0.23819684982299805,100.43082399988634,76.5094805001354,-23.921343499750947,128.0,116.66367713004485,-11.336322869955154
